duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0,udp,domain_u,SF,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,103,79,0.77,0.02,0.77,0.0,0.0,0.0,0.0,0.0
0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,16,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0.0
0,tcp,efs,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,21,1.0,1.0,0.0,0.0,0.14,0.05,0.0,255,21,0.08,0.05,0.0,0.0,1.0,1.0,0.0,0.0
0,tcp,http,SF,323,3247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,tcp,ftp_data,SF,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,61,117,0.84,0.05,0.84,0.02,0.0,0.0,0.0,0.0
0,tcp,http,SF,259,1339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,27,255,1.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0
0,tcp,time,S2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,22,22,1.0,0.0,0.09,0.0,0.09,0.09,0.05,0.05
0,tcp,netstat,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,8,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,1,0.0,0.08,0.0,0.0,1.0,1.0,0.0,0.0
0,tcp,smtp,S1,11991,1328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1.0,0.5,0.0,0.0,1.0,0.0,1.0,36,196,0.75,0.06,0.03,0.02,0.03,0.01,0.0,0.0
0,tcp,smtp,SF,652,337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,199,213,0.84,0.02,0.01,0.01,0.0,0.0,0.0,0.0
0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,166,86,0.52,0.01,0.01,0.0,0.99,0.98,0.0,0.0
0,tcp,finger,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,1.0,1.0,0.0,0.0,0.21,0.06,0.0,255,61,0.24,0.02,0.02,0.0,1.0,1.0,0.0,0.0
0,tcp,http,SF,284,452,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0
0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,239,0.94,0.02,0.94,0.0,0.0,0.0,0.05,0.0
0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1.0,1.0,0.0,0.0,0.13,0.27,0.0,255,62,0.24,0.02,0.01,0.0,1.0,1.0,0.0,0.0
19,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,220,0.86,0.01,0.01,0.0,0.0,0.0,0.0,0.0
